step,o_index,x,y,z
0.0,337.0,7.20213643,3.32734668,-1.41156052
1.0,337.0,7.17120581,3.38443107,-1.41799282
2.0,337.0,7.13528285,3.41956595,-1.44895172
3.0,337.0,7.11300764,3.4595462,-1.50020108
4.0,337.0,7.11392399,3.51469855,-1.54970967
5.0,337.0,7.10506475,3.5693588,-1.5944566
6.0,337.0,7.12246263,3.6240156,-1.62309524
7.0,337.0,7.18915958,3.67804146,-1.60338829
8.0,337.0,7.27486882,3.71119299,-1.5473512
9.0,337.0,7.31406554,3.72944936,-1.5255842
10.0,337.0,7.31013745,3.7713558,-1.54735686
11.0,337.0,7.27388005,3.84671226,-1.57078457
12.0,337.0,7.23852042,3.93299355,-1.55162334
13.0,337.0,7.24018712,3.98392162,-1.5100685
14.0,337.0,7.25455925,3.98305474,-1.47125786
15.0,337.0,7.22850676,3.96630094,-1.43476195
16.0,337.0,7.13130325,3.95572841,-1.42863421
17.0,337.0,7.01846854,3.93198227,-1.44070196
18.0,337.0,6.91698561,3.88583995,-1.44631945
19.0,337.0,6.86445655,3.82607015,-1.45121084
20.0,337.0,6.88401244,3.78519349,-1.47538408
21.0,337.0,6.96544225,3.7902771,-1.51424903
22.0,337.0,7.05823209,3.83690246,-1.57437949
23.0,337.0,7.16264056,3.87248112,-1.63578947
24.0,337.0,7.26798277,3.88854536,-1.6691976
25.0,337.0,7.36591512,3.90801961,-1.66573683
26.0,337.0,7.43562576,3.92361736,-1.67708229
27.0,337.0,7.48945307,3.91153598,-1.72154319
28.0,337.0,7.52721531,3.88810558,-1.76768717
29.0,337.0,7.54473737,3.89345158,-1.77529689
30.0,337.0,7.57220859,3.92952765,-1.72516662
31.0,337.0,7.63499355,3.97694759,-1.67060668
32.0,337.0,7.72811841,4.01784041,-1.65350546
33.0,337.0,7.80809604,4.0602723,-1.68077975
34.0,337.0,7.86030083,4.09163834,-1.70085453
35.0,337.0,7.88786837,4.08137475,-1.68994555
36.0,337.0,7.90899841,4.04238482,-1.658609
37.0,337.0,7.91872064,4.00135752,-1.62612623
38.0,337.0,7.93396895,3.97244142,-1.62041759
39.0,337.0,7.96024405,3.95322603,-1.64230371
40.0,337.0,7.97553511,3.9694739,-1.67342094
41.0,337.0,7.98345654,4.02219775,-1.68222292
42.0,337.0,7.98103153,4.08429398,-1.69497491
43.0,337.0,7.96664346,4.14144546,-1.7173349
44.0,337.0,7.93637518,4.17421679,-1.74833587
45.0,337.0,7.92896726,4.18602735,-1.76471088
46.0,337.0,7.9372403,4.17465326,-1.75936452
47.0,337.0,7.93997872,4.12531847,-1.75177496
48.0,337.0,7.92756709,4.0831418,-1.73070268
49.0,337.0,7.89360985,4.01374543,-1.72817107
50.0,337.0,7.85874278,3.9164129,-1.72480867
51.0,337.0,7.85467236,3.81966277,-1.72838015
52.0,337.0,7.85653183,3.71554347,-1.72975034
53.0,337.0,7.85531287,3.62533464,-1.71402767
54.0,337.0,7.84041667,3.56689755,-1.6828861
55.0,337.0,7.7830754,3.5196288,-1.67090155
56.0,337.0,7.71701512,3.47654336,-1.68979499
57.0,337.0,7.68475385,3.44772281,-1.7183715
58.0,337.0,7.65479662,3.4426463,-1.75527892
59.0,337.0,7.62755144,3.44657527,-1.79939263
60.0,337.0,7.61755627,3.45618933,-1.84330396
61.0,337.0,7.62718443,3.45370452,-1.86629483
62.0,337.0,7.65905725,3.42677264,-1.8629443
63.0,337.0,7.71451073,3.41901277,-1.84340775
64.0,337.0,7.77864089,3.44097511,-1.82827597
65.0,337.0,7.82862863,3.47279405,-1.84993815
66.0,337.0,7.86114241,3.49153192,-1.9030749
67.0,337.0,7.87355447,3.49102319,-1.96789199
68.0,337.0,7.85059603,3.51180407,-2.01023117
69.0,337.0,7.80488743,3.58203891,-2.03531394
70.0,337.0,7.75600036,3.68308082,-2.0432889
71.0,337.0,7.71904416,3.78301218,-2.0370234
72.0,337.0,7.69059804,3.88976008,-2.02608231
73.0,337.0,7.68196799,3.99189449,-2.01232487
74.0,337.0,7.67268044,4.07751819,-2.01435349
75.0,337.0,7.63468241,4.15383808,-2.02703068
76.0,337.0,7.58402819,4.21177324,-2.01406978
77.0,337.0,7.51484227,4.22901343,-1.99742588
78.0,337.0,7.43940605,4.22090073,-2.00427925
79.0,337.0,7.39696171,4.18636686,-1.94814585
80.0,337.0,7.35301099,4.12651336,-1.92869199
81.0,337.0,7.31192166,4.0569014,-1.88606297
82.0,337.0,7.22652296,3.9920205,-1.85797059
83.0,337.0,7.12535552,3.92100769,-1.86044651
84.0,337.0,7.03993783,3.82361861,-1.88680405
85.0,337.0,6.94676344,3.7580733,-1.91105255
86.0,337.0,6.85716038,3.75201715,-1.90984641
87.0,337.0,6.79342297,3.78431867,-1.85638464
88.0,337.0,6.74203836,3.83929355,-1.76703859
89.0,337.0,6.70905157,3.88970393,-1.69420381
90.0,337.0,6.69587043,3.92325934,-1.65619456
91.0,337.0,6.69788979,3.93700923,-1.64318476
92.0,337.0,6.68913813,3.93618764,-1.6373822
93.0,337.0,6.66008892,3.9281008,-1.62987713
94.0,337.0,6.63434044,3.92762133,-1.62360618
95.0,337.0,6.61818917,3.93021782,-1.6182738
96.0,337.0,6.58850462,3.91855458,-1.62892661
97.0,337.0,6.54710709,3.90091469,-1.63828919
98.0,337.0,6.52182824,3.87654123,-1.62960059
99.0,337.0,6.52087901,3.85659135,-1.6144821
100.0,337.0,6.53262174,3.81549189,-1.58214851
101.0,337.0,6.55117051,3.75937362,-1.55765822
102.0,337.0,6.56362251,3.70339784,-1.54350525
103.0,337.0,6.57163909,3.65054358,-1.56334616
104.0,337.0,6.58066093,3.60845757,-1.60959159
105.0,337.0,6.59635423,3.60981756,-1.6431144
106.0,337.0,6.59170976,3.67884102,-1.63334845
107.0,337.0,6.58322003,3.7784305,-1.60848848
108.0,337.0,6.59027288,3.85111512,-1.5897809
109.0,337.0,6.61257303,3.87232382,-1.56139707
110.0,337.0,6.63797401,3.86703677,-1.53417406
111.0,337.0,6.66483998,3.85790169,-1.5061542
112.0,337.0,6.69649637,3.8291618,-1.49807098
113.0,337.0,6.73975588,3.75862626,-1.49034491
114.0,337.0,6.79304265,3.68082355,-1.46513845
115.0,337.0,6.80447954,3.64581361,-1.44114115
116.0,337.0,6.73859788,3.64414427,-1.46095897
117.0,337.0,6.63614481,3.66102604,-1.50114663
118.0,337.0,6.53532785,3.69652834,-1.51525701
119.0,337.0,6.45891108,3.73671064,-1.49202246
120.0,337.0,6.42288024,3.77825749,-1.45482813
121.0,337.0,6.42444499,3.78628888,-1.43229447
122.0,337.0,6.45457342,3.76186691,-1.41073961
123.0,337.0,6.49014745,3.74151851,-1.38597889
124.0,337.0,6.51090221,3.749601,-1.34583629
125.0,337.0,6.56172105,3.77359825,-1.30179405
126.0,337.0,6.65487155,3.77888365,-1.27082783
127.0,337.0,6.77411359,3.789857,-1.23486681
128.0,337.0,6.85624189,3.82669056,-1.18255635
129.0,337.0,6.86123967,3.87807089,-1.13932759
130.0,337.0,6.81648899,3.94418055,-1.13016513
131.0,337.0,6.79014452,4.00811886,-1.16199232
132.0,337.0,6.80517992,4.06417089,-1.22274233
133.0,337.0,6.8282243,4.10711352,-1.28830967
134.0,337.0,6.84515077,4.13835016,-1.36023341
135.0,337.0,6.87005121,4.16323677,-1.40970073
136.0,337.0,6.90777402,4.20690129,-1.4350757
137.0,337.0,6.901547,4.26705087,-1.44917901
138.0,337.0,6.84445626,4.3458726,-1.45231119
139.0,337.0,6.77713124,4.41641323,-1.44803962
140.0,337.0,6.7473091,4.46153446,-1.4690958
141.0,337.0,6.75645282,4.50759825,-1.5269075
142.0,337.0,6.76575707,4.54132081,-1.60717948
143.0,337.0,6.76721464,4.55228321,-1.67473057
144.0,337.0,6.77936214,4.57649634,-1.70941136
145.0,337.0,6.77584628,4.60627708,-1.72643792
146.0,337.0,6.75403742,4.62684727,-1.75158523
147.0,337.0,6.76012275,4.6802533,-1.78790535
148.0,337.0,6.8077352,4.71904126,-1.84260419
149.0,337.0,6.87483372,4.74691583,-1.90748857
150.0,337.0,6.92373484,4.77710007,-1.95565913
151.0,337.0,6.95701783,4.78151506,-1.99560873
152.0,337.0,6.98515893,4.73209407,-2.04300121
153.0,337.0,7.02310339,4.66457462,-2.09417927
154.0,337.0,7.06313138,4.62012123,-2.10846919
155.0,337.0,7.10353973,4.62096759,-2.06589623
156.0,337.0,7.1471735,4.66264772,-1.99821789
157.0,337.0,7.18600885,4.69849165,-1.93192841
158.0,337.0,7.20898846,4.73652026,-1.87417865
159.0,337.0,7.21589683,4.78650989,-1.79951779
160.0,337.0,7.20853301,4.8168799,-1.70577762
161.0,337.0,7.20978607,4.80726377,-1.61107521
162.0,337.0,7.23002221,4.80150676,-1.54694886
163.0,337.0,7.26637046,4.81417955,-1.54213591
164.0,337.0,7.29195835,4.80701501,-1.58385795
165.0,337.0,7.30403716,4.77006156,-1.61068985
166.0,337.0,7.32824801,4.70836477,-1.59529954
167.0,337.0,7.36990468,4.62664804,-1.54957183
168.0,337.0,7.39927691,4.52409269,-1.51472287
169.0,337.0,7.41636641,4.42586037,-1.50630998
170.0,337.0,7.45961689,4.36918737,-1.521396
171.0,337.0,7.56481867,4.33538415,-1.53013201
172.0,337.0,7.69439596,4.30091289,-1.52392143
173.0,337.0,7.78013775,4.25121069,-1.50475463
174.0,337.0,7.82402899,4.21387285,-1.48373506
175.0,337.0,7.83233709,4.17147815,-1.4589108
176.0,337.0,7.81848952,4.110194,-1.42089295
177.0,337.0,7.78497717,4.06904471,-1.37772081
178.0,337.0,7.74072669,4.06046516,-1.33117213
179.0,337.0,7.69668792,4.05757086,-1.27692912
180.0,337.0,7.66213316,4.0511453,-1.21413624
181.0,337.0,7.64975948,4.0488534,-1.15711943
182.0,337.0,7.65514337,4.06273754,-1.10679318
183.0,337.0,7.67547079,4.0956478,-1.08294903
184.0,337.0,7.69411679,4.14800799,-1.08177809
185.0,337.0,7.70512946,4.18387058,-1.08999771
186.0,337.0,7.69796385,4.22324372,-1.0853315
187.0,337.0,7.66251755,4.26884723,-1.06717885
188.0,337.0,7.62582094,4.314814,-1.03958332
189.0,337.0,7.60346514,4.36142757,-1.00105077
190.0,337.0,7.57733829,4.41523716,-0.95130965
191.0,337.0,7.53408929,4.48561195,-0.91067889
192.0,337.0,7.48020827,4.56027167,-0.88049427
193.0,337.0,7.43448035,4.62995813,-0.85107958
194.0,337.0,7.3961348,4.70414439,-0.8092381
195.0,337.0,7.37906477,4.79763564,-0.7502652
196.0,337.0,7.38381912,4.84878244,-0.71633049
197.0,337.0,7.41736928,4.86225303,-0.72431493
198.0,337.0,7.44520384,4.87608081,-0.74386798
199.0,337.0,7.45169448,4.90971623,-0.74927323
200.0,337.0,7.45732318,4.93284857,-0.75630388
201.0,337.0,7.46541073,4.94570087,-0.76024503
202.0,337.0,7.48019317,4.97284047,-0.74645338
203.0,337.0,7.51995808,5.02553266,-0.73384688
204.0,337.0,7.59159222,5.08464567,-0.74601217
205.0,337.0,7.66508537,5.12635543,-0.80259699
206.0,337.0,7.72482663,5.17998016,-0.87048277
207.0,337.0,7.76191139,5.23061569,-0.91690466
208.0,337.0,7.77464628,5.28954725,-0.95604215
209.0,337.0,7.77174978,5.34761994,-0.99324844
210.0,337.0,7.77955684,5.4134317,-1.0095018
211.0,337.0,7.81659207,5.47535112,-1.0094892
212.0,337.0,7.87360058,5.52569424,-1.00934333
213.0,337.0,7.928952,5.5662198,-1.0301053
214.0,337.0,7.97918813,5.63075984,-1.07298443
215.0,337.0,8.03941785,5.72727596,-1.13179303
216.0,337.0,8.15630563,5.80914916,-1.17454981
217.0,337.0,8.28866628,5.86101504,-1.19373673
218.0,337.0,8.37260235,5.88168238,-1.21939505
219.0,337.0,8.4166044,5.90851949,-1.23762791
220.0,433.0,9.96737642,4.906032719999999,0.48511688
