Tau,dtime,msd_xx,msd_xy,msd_xz,msd_yy,msd_yz,msd_zz
1.0,0.01,0.003806616867960388,-0.0006626327636332038,-6.0010836886258104e-05,0.003943803772109869,-3.1419440456226476e-05,0.003616240150992577
2.0,0.02,0.010413585286979962,-0.0012549257554641052,-0.00010171514152274265,0.010568258870491613,-0.0002249972236589813,0.009986577285675534
3.0,0.03,0.018747412837059628,-0.0018210639151308098,-4.606699365837579e-06,0.018929401295305726,-0.0003718352314111695,0.018161002043069578
4.0,0.04,0.028396289849238542,-0.0023168729769183246,-2.7675096363753916e-05,0.02797129948348727,-0.0007296538938781859,0.02719419684513368
5.0,0.05,0.03848326293960954,-0.00280253545190672,-8.588259806948833e-05,0.037566369349199887,-0.000624933500028432,0.03678864012906992
6.0,0.06,0.04788405792750768,-0.0033165046430532084,-0.0005163441178555118,0.04820037203101066,-0.001454896901432312,0.046470466061049466
7.0,0.07,0.05905873064623081,-0.003873229877455857,0.00010554366778657798,0.05829051659463851,-0.001907147954054839,0.056243605120086484
8.0,0.08,0.06876859457437219,-0.00413980833857943,-0.00038810192396985344,0.0697066783826325,-0.002444346649192573,0.0670960505098173
9.0,0.09,0.08284659318072528,-0.003501673918119403,-0.0008597564629221944,0.07993370808171749,-0.0013425331510229358,0.07912636308545527
10.0,0.1,0.09327165184528363,-0.004064366864862211,3.1508354218902464e-05,0.0928658880653587,-0.0035866808140484607,0.08841493037787938
11.0,0.11,0.11046066343657371,-0.004497721347228454,-0.0008894208924024617,0.10316915000654299,-0.0017563494798323181,0.09930378820688401
12.0,0.12,0.11887369512560196,-0.0051637831496875964,-0.0010751643174097356,0.11860403775573294,-0.00425384846451677,0.11476370227910729
13.0,0.13,0.13700255072390238,-0.0035875376429399587,-0.0025704083236753454,0.12996178892684326,-0.0034135022901421435,0.12312160757724494
14.0,0.14,0.15266349121547781,-0.007659851976783356,-0.0017328659976924721,0.1389958216575622,-0.0028230447032322396,0.13891540577891623
15.0,0.15,0.16056686052995012,-0.010800164351167986,-0.0004421162423894439,0.15689957783671876,-0.005162104461572867,0.15580117440483707
16.0,0.16,0.17116863849095243,-0.0015840852596460417,-0.0014703329643791642,0.17516128831311586,-0.007002064190381188,0.16716635184132977
17.0,0.17,0.1910796770532221,-0.0062723814173488365,-0.005330322378045091,0.18226715397290533,-0.0025861453727227157,0.18180819652330998
18.0,0.18,0.20682517583656115,-0.0079288507231512,-0.004479485627503867,0.19294789336525717,-0.007140268236315258,0.19389074745296622
19.0,0.19,0.22745747659236315,0.0009578355000056345,-0.005909515819936239,0.2089081476014248,-0.007678886325632526,0.20480418196332048
20.0,0.2,0.23887483978240345,-0.0028169269555117483,-0.009860553529396203,0.22735672494498857,-0.0038992596443494314,0.21189134733996567
21.0,0.21,0.25422210584478316,-0.002372715847842449,-0.0016792494055328172,0.24047987285157163,-0.002393020510620919,0.2314281819661032
22.0,0.22,0.27205464224032144,-0.0010142087273227133,-0.011271241902115535,0.25979478608217454,-0.00868091008958358,0.24153780944720316
23.0,0.23,0.28782729833653914,-0.0008520257166756294,-0.008173016769080759,0.27362220446181496,-0.009039301532493643,0.26282023940344434
24.0,0.24,0.2899740369620658,-0.004239161652599179,-0.009576564736151575,0.3043713269370258,-0.0070726685961769765,0.2803414845368355
25.0,0.25,0.3014686311535279,-0.0037572938682937872,-0.004148793683950786,0.309952951306667,-0.012559157863486185,0.2921872552690629
26.0,0.26,0.31743331634359473,-0.011845701461342308,-0.006445846214484215,0.3262098121008872,-0.0026021860837686767,0.30332636727543594
