nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
0,0.6616686199999995,0.14263876,6.69251551,6.726657047162253,6.08590872,1.0304833000000002,6.17352081,8.729979379772555,13.392356260000001,5.05033637,8.94885062,16.880255657542047,10.2560664,4.1624918300000004,3.9171857,11.74127676380683
1,0.6586836900000002,0.024246060000000014,6.6586982,6.691241573398825,6.080998049999999,1.0326492299999996,6.28414459,8.805417363438808,13.42001412,5.11149405,8.96986843,16.931706649233426,10.236304140000001,4.10309088,3.9729743600000003,11.721851495448051
2,0.7038150399999994,0.016492530000000005,6.59557223,6.6330385688026245,6.166709320000001,1.0319559500000004,6.35695001,8.916504379506257,13.401390699999999,5.13256555,8.97326299,16.9251277840611,10.12408494,4.08411707,3.97925925,11.619449741382367
3,0.7573556400000001,0.049241009999999974,6.570185400000001,6.613875447336365,6.214470019999999,1.0958975899999999,6.394879169999999,8.984158767305177,13.342626470000003,5.18752198,9.04353319,16.93285439521522,10.08154787,4.04238338,3.9215313800000002,11.548024905165665
4,0.7549959499999996,0.007738020000000012,6.522854430000001,6.56640759292633,6.183199579999999,1.1292732399999998,6.44026496,8.999123726880082,13.315804010000003,5.2015663199999995,9.10100848,16.946836990043966,10.14200046,4.06455506,3.86211091,11.58864452158029
5,0.7160526699999998,0.0038002000000000313,6.44978503,6.4894123617586725,6.18558379,1.1530478400000002,6.53482311,9.071652507863686,13.30906838,5.25444486,9.13009743,16.973484350939522,10.18529516,4.10519722,3.8545107100000005,11.638304624167555
6,0.6695146999999997,0.03357764999999996,6.38071097,6.415828073972522,6.157907279999999,1.2348098099999998,6.59325756,9.105801589560711,13.321987450000004,5.29719682,9.13383386,16.99889892757346,10.24659057,4.09596466,3.8401346700000003,11.684013826118054
7,0.7391834299999998,0.08835842000000005,6.38296779,6.426233512855641,6.24345744,1.2887012599999998,6.64156673,9.206080619441687,13.227449170000002,5.31180942,9.17893626,16.953866866425408,10.18590996,4.11146658,3.84559826,11.638107454779712
8,0.7813454899999996,0.03552059000000002,6.4635487099999995,6.5107007620992645,6.41845371,1.3572719700000002,6.670406890000001,9.355910608065894,13.200886860000002,5.40430161,9.297096660000001,17.026623155745018,9.995313939999999,4.08255023,3.83685894,11.458403190021254
9,0.8123219399999999,0.04868965000000003,6.52974125,6.580255193240916,6.5015488,1.4446911499999997,6.66019016,9.418885405664016,13.206733130000002,5.4878304799999995,9.41190407,17.12068986831837,9.87539613,3.99444968,3.7780273399999995,11.302768136711403
10,0.8716357100000001,0.16260350999999995,6.49388126,6.554134766038207,6.53168529,1.53587511,6.6783192,9.466877648845395,13.159448020000001,5.588223999999999,9.433354479999998,17.12855791976061,9.83323098,3.88974538,3.7388459800000002,11.216127669094412
11,0.9345820900000006,0.22399187999999998,6.43982943,6.5111457619031095,6.49181,1.62032795,6.677143320000001,9.452687589118337,13.060602399999999,5.63157293,9.41594581,17.057373309324362,9.90900551,3.7872531,3.70102694,11.235180312361512
12,0.8856305299999998,0.32340386,6.42664952,6.495441135538617,6.46815468,1.65606629,6.66196648,9.431933942830804,13.021377570000002,5.722151950000001,9.442115309999998,17.071989874842487,10.02083722,3.7426818,3.64650069,11.301407564014275
