nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
0,4.15405202,7.807893330000001,1.83122131,9.031761617963724,8.119585,0.28365898999999994,0.99723576,8.185511722296635,15.888074,4.466832419999999,2.1285276900000003,16.640736685163183,3.61443698,3.6247199000000005,0.6999293799999999,5.166493024560734
1,4.12461809,7.817701660000001,1.90805027,9.042653895066929,7.96226566,0.27564315000000006,0.9861060300000001,8.027830260348031,15.81618226,4.50144961,2.13785041,16.582673917328442,3.7292985099999996,3.5918952,0.75630589,5.232721768231133
2,4.1537925,7.694799099999999,2.05182179,8.981864950016552,7.965353209999999,0.21601625999999996,0.9605169899999999,8.025964594534438,15.75870322,4.42501261,2.2091477399999997,16.51659158276442,3.6395575100000004,3.4858027499999995,0.80319104,5.103167205495156
3,4.1876747199999995,7.58354496,2.04982122,8.902164947631041,7.8952627799999995,0.23942579000000008,0.9928217100000001,7.96104226982986,15.69156508,4.38374614,2.1994930000000004,16.44020116473303,3.6086275800000003,3.43922461,0.84314993,5.055824436590467
4,4.27590509,7.590821350000001,2.00484117,8.939984408444497,7.77220277,0.27330188,1.0581573499999999,7.848664013255137,15.66263177,4.48067554,2.21106041,16.440294261175406,3.61452391,3.3834476899999997,0.8519381100000001,5.023773473216959
5,4.387479689999999,7.48622852,1.97091919,8.898208692615281,7.699889630000001,0.22263490000000008,1.0420636399999998,7.773272363856139,15.67198398,4.47911472,2.23956159,16.45263464189552,3.5846146599999997,3.2297487,0.77342124,4.88660611675647
6,4.42708324,7.459491379999999,1.90080705,8.880098259789296,7.6459094,0.2643713999999999,1.05316746,7.722628081744528,15.645198449999999,4.56504111,2.20817913,16.44651604279885,3.5722058100000003,3.15882167,0.74579538,4.826491421383518
7,4.52142393,7.441907990000001,1.8508463700000002,8.902297522086345,7.658734110000001,0.32497796,1.03791992,7.735573450139044,15.709385090000001,4.6615111,2.1700843,16.529480678788552,3.5292270500000003,3.1053748500000005,0.7186819900000001,4.75555468186568
8,4.56105083,7.38499924,1.7561525100000002,8.85581560823302,7.5916533699999995,0.4026367500000001,0.95751908,7.662386053394005,15.692345490000001,4.70453523,2.08780287,16.514880548517898,3.5396412899999996,3.0831007599999998,0.62586872,4.735639599131239
9,4.60696415,7.40197885,1.7433851799999998,8.891164235412377,7.470673130000001,0.43203397,0.8957222600000001,7.536572744530333,15.65377179,4.79308072,2.09121512,16.504162345297992,3.5761345099999997,3.0409321,0.54789232,4.726118075623834
10,4.716767969999999,7.3297133599999995,1.707503,8.881900951800207,7.4308055,0.4075263600000001,0.8422423800000001,7.489480645518297,15.659239419999999,4.7690958299999995,2.07164792,16.499932707530828,3.51166595,2.9681438900000003,0.47809746,4.6227971053672885
11,4.704317499999999,7.33722146,1.59202658,8.860020909981944,7.33399803,0.4426115800000001,0.81257493,7.392138400466977,15.54721117,4.80140688,1.96942283,16.390482283179143,3.50889564,2.9784261600000006,0.43517868,4.62306732446218
12,4.77937239,7.389005129999999,1.51160499,8.928871535600315,7.240047949999999,0.4695621699999999,0.79127252,7.298280287211601,15.53831864,4.85524951,1.90244932,16.390000225066963,3.5188983,3.0033177899999997,0.40042818999999996,4.643587592456941
13,4.80977169,7.35599013,1.45788098,8.908979259961752,7.193674849999999,0.4593215399999999,0.66643681,7.239065695678791,15.504908839999999,4.80649544,1.86520351,16.33963220776916,3.5014623,3.00881623,0.25911428000000003,4.623889440106956
14,4.76561967,7.3154558000000005,1.39930176,8.842232173856535,7.151600890000001,0.4783295999999999,0.5594899600000001,7.189382693348976,15.423743720000001,4.78371898,1.82649625,16.251520734107185,3.50652316,3.01006642,0.13229546999999997,4.6231706236965255
15,4.81834062,7.275565050000001,1.34857126,8.829999862424772,7.158247459999999,0.57897657,0.53443795,7.201482103678771,15.474871949999999,4.78842797,1.78832693,16.2972027508201,3.49828387,3.06611365,0.09468228000000004,4.6527419532964105
16,4.7649593900000005,7.25827342,1.3366370200000002,8.784871629742927,7.1447469099999985,0.6535485700000001,0.5037744900000001,7.192240463032248,15.443862159999998,4.83106332,1.7543528000000002,16.276664429968353,3.5341558600000003,3.0807586700000007,0.08605871000000001,4.689215043812704
17,4.76246629,7.2417217,1.3214346200000002,8.767542859808088,7.11910739,0.63594029,0.46641793000000004,7.162657032709537,15.46669983,4.8806503800000005,1.6971227100000001,16.30704685882499,3.58512615,2.9970116100000004,0.09072984,4.673696610366899
18,4.76166624,7.19873521,1.28911748,8.726802271284198,7.117642289999999,0.5724482200000001,0.31441312,7.147543937815684,15.49983462,4.87026395,1.61929305,16.32747543779498,3.6205260900000003,2.9009194799999998,0.015762449999999983,4.639374036725662
19,4.6330649699999995,7.14908488,1.21533219,8.60533195000262,7.05215963,0.5161615000000002,0.21682745999999997,7.074347481463859,15.38640553,4.832313620000001,1.55314254,16.20200548713676,3.7011809299999996,2.8329327600000003,0.12098288999999995,4.662497738224613
20,4.56370249,7.1214287800000005,1.19485943,8.542237256322515,6.98110102,0.45178845999999995,0.26998082,7.000912362485484,15.32505574,4.82427747,1.55392175,16.141426806412735,3.7802522300000003,2.74893977,0.08908149999999998,4.67492377426091
21,4.50413144,7.04806666,1.19450228,8.44921767795843,6.88914406,0.43583134999999995,0.34146306000000004,6.91135673123741,15.250507169999999,4.782497360000001,1.5845627100000002,16.061167109601683,3.85723167,2.7014006499999996,0.04859736999999997,4.70936973832405
22,4.47092755,6.97455207,1.19935209,8.370902888594374,6.822503299999999,0.4743940899999999,0.37359764,6.849173397407266,15.16731301,4.74869295,1.6026058,15.973910417517954,3.87388216,2.70025321,0.02965606999999998,4.722203920858291
23,4.44842476,6.991880180000001,1.27104937,8.383939276845657,6.814315099999999,0.4940734499999999,0.31414268,6.839421355603154,15.0913627,4.7868946900000005,1.64652194,15.917745550642618,3.8286228400000004,2.6990589400000005,0.06132989,4.684766095331869
24,4.40242996,6.97680668,1.31590975,8.353971479059723,6.79099452,0.53238085,0.23956106000000005,6.816041772288743,15.046299489999999,4.775374129999999,1.6191406700000002,15.868741063282101,3.85287501,2.7338134000000003,0.06366985999999997,4.724662464110477
25,4.35407666,7.00208263,1.3481687199999999,8.354920922192557,6.8684917500000005,0.53789153,0.22290469000000002,6.89312648358405,15.03544101,4.77903511,1.5864325400000001,15.856242655552839,3.8128726,2.76093905,0.015359129999999999,4.707549023060729
26,4.35075227,7.057547469999999,1.35294942,8.400505564505739,6.94692136,0.47383431,0.23855703999999994,6.967147536595661,15.085473610000001,4.76872532,1.58310705,15.90026676340291,3.78779998,2.7626564599999996,0.008399409999999996,4.688258733747112
27,4.30502833,7.09076346,1.24933332,8.388863398115145,6.947566219999999,0.41668320000000003,0.19938186000000002,6.962905600145989,15.1111405,4.68409588,1.5236297300000001,15.893670720696118,3.85854595,2.82335078,0.07491454999999997,4.781767316065234
28,4.19749025,7.19258777,1.16556397,8.408970364804528,6.936640929999999,0.32143745999999984,0.12844798999999996,6.945272371806419,15.08405086,4.66062778,1.47842235,15.85672646846612,3.94991968,2.85339745,0.18441038999999998,4.876243398155773
29,4.12286987,7.19083124,1.1416757400000002,8.367169974514578,6.894432780000001,0.21021965999999992,0.12127129999999997,6.898702949945935,15.092002520000001,4.53432568,1.45733931,15.825690736914618,4.07469987,2.86672522,0.19439227000000003,4.98588817285324
30,4.0490828,7.20344708,1.169588,8.345816763226974,6.917510139999999,0.15390380999999986,0.09425066999999998,6.9198638793354,15.06460882,4.4453100899999995,1.46144556,15.77463292190095,4.09801588,2.9120407999999998,0.19760689000000004,5.031179211335279
