,SMILES,MolWt,HeavyAtomMolWt,#ValenceElectrons,#TertiaryAmines,#SecondaryAmines,#PrimaryAmines,QuaternaryN,Molar Refractivity,PC,TPSA,NumHDonors,NumHAcceptors,RingCount,AromaticCount,Fraction
0,[NH4+],18.03382554809,14.007,8.0,0.0,0.0,0.0,1.0,5.9848,0.0,36.5,1.0,0.0,0.0,0.0,0.0
1,CC[NH3+],46.06512567608999,38.028999999999996,20.0,0.0,0.0,0.0,1.0,13.429100000000002,0.0,27.64,1.0,0.0,0.0,0.0,1.0
2,CCCC[NH3+],74.09642580408999,62.050999999999995,32.0,0.0,0.0,0.0,1.0,22.663100000000004,2.0,27.64,1.0,0.0,0.0,0.0,1.0
3,CCCCCC[NH3+],102.12772593208999,86.073,44.0,0.0,0.0,0.0,1.0,31.897099999999988,4.0,27.64,1.0,0.0,0.0,0.0,1.0
4,C[N+](C)(C)(C),74.09642580408999,62.05099999999999,32.0,1.0,0.0,0.0,1.0,23.95639999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,CC[N+](CC)(CC)(CC),130.15902606008999,110.09499999999997,56.0,1.0,0.0,0.0,1.0,42.424400000000006,4.0,0.0,0.0,0.0,0.0,0.0,1.0
6,CCC[N+](CCC)(CCC)(CCC),186.22162631609,158.13899999999998,80.0,1.0,0.0,0.0,1.0,60.89240000000006,8.0,0.0,0.0,0.0,0.0,0.0,1.0
7,CC[N+](C)(C)(C),88.11207586808999,74.06199999999998,38.0,1.0,0.0,0.0,1.0,28.573399999999985,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8,CCCC[N+](C)(C)(C),116.14337599608999,98.08399999999999,50.0,1.0,0.0,0.0,1.0,37.807399999999994,3.0,0.0,0.0,0.0,0.0,0.0,1.0
9,CCCCCC[N+](C)(C)(C),144.17467612408998,122.10599999999998,62.0,1.0,0.0,0.0,1.0,47.041400000000024,5.0,0.0,0.0,0.0,0.0,0.0,1.0
10,C(C)(C)(C)C[N+](C)(C)(C),130.15902606008999,110.09499999999998,56.0,1.0,0.0,0.0,1.0,42.354400000000005,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11,C1=CC=CC=C1C[N+](C)(C)(C),150.12772593209,134.117,60.0,1.0,0.0,0.0,1.0,48.17840000000003,2.0,0.0,0.0,0.0,1.0,1.0,0.4
12,C1CC[N+](C)(C)C1,100.11207586808999,86.073,42.0,1.0,0.0,0.0,1.0,31.076399999999982,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,C1CC[N+](C)(CC)C1,114.12772593208999,98.08399999999999,48.0,1.0,0.0,0.0,1.0,35.69339999999999,1.0,0.0,0.0,0.0,1.0,0.0,1.0
