rattling1 for OH1 starts here
3     481        -0.38174437     -0.53850349     -1.09849792
4     481        -0.33980058     -0.48379171     -1.17353097
5     481        -0.32413617     -0.41745640     -1.24489717
6     481        -0.31585561     -0.34753123     -1.28469743
7     481        -0.30726383     -0.26871495     -1.27560324
8     481        -0.32627833     -0.19972654     -1.26373605
9     481        -0.38075623     -0.14320067     -1.34630028
10    481        -0.46031974     -0.10097407     -1.43324985
11    481        -0.52200628     -0.05557453     -1.48806779
12    481        -0.55178933     -0.00028277     -1.49068040
13    481        -0.53826521      0.04601503     -1.48932266
14    481        -0.50796665      0.05498056     -1.48362604
15    481        -0.50419274      0.03463363     -1.44942387
16    481        -0.51851461      0.01993047     -1.39659424
17    481        -0.52840736      0.02194176     -1.37013574
18    481        -0.52925117      0.04920308     -1.32857658
19    481        -0.54210297      0.06360348     -1.29872707
20    481        -0.56064845      0.04271000     -1.26369895
21    481        -0.58287068      0.03401059     -1.24106951
rattaling1 for OH1 ends here
rattling1 for OH1 starts here
17    481        -0.52840736      0.02194176     -1.37013574
18    481        -0.52925117      0.04920308     -1.32857658
19    481        -0.54210297      0.06360348     -1.29872707
20    481        -0.56064845      0.04271000     -1.26369895
21    481        -0.58287068      0.03401059     -1.24106951
22    481        -0.58581285      0.02569678     -1.22546492
23    481        -0.57594734      0.01260052     -1.21603992
24    481        -0.56386126     -0.02402985     -1.20815419
25    481        -0.55767117     -0.08609269     -1.21681510
26    481        -0.55820470     -0.13408260     -1.25842892
27    481        -0.56241827     -0.16464627     -1.30004196
28    481        -0.59141013     -0.19021558     -1.28102051
29    481        -0.63981512     -0.20347105     -1.20924098
30    481        -0.66568757     -0.24122360     -1.13504538
31    481        -0.66833512     -0.32276479     -1.08097824
32    481        -0.68361614     -0.43772633     -1.04193943
33    481        -0.71678515     -0.56141944     -1.00793402
34    481        -0.75762176     -0.63852132     -1.00164589
35    481        -0.78865920     -0.67496374     -0.99107885
rattaling1 for OH1 ends here
rattling1 for OH1 starts here
19    481        -0.54210297      0.06360348     -1.29872707
20    481        -0.56064845      0.04271000     -1.26369895
21    481        -0.58287068      0.03401059     -1.24106951
22    481        -0.58581285      0.02569678     -1.22546492
23    481        -0.57594734      0.01260052     -1.21603992
24    481        -0.56386126     -0.02402985     -1.20815419
25    481        -0.55767117     -0.08609269     -1.21681510
26    481        -0.55820470     -0.13408260     -1.25842892
27    481        -0.56241827     -0.16464627     -1.30004196
28    481        -0.59141013     -0.19021558     -1.28102051
29    481        -0.63981512     -0.20347105     -1.20924098
30    481        -0.66568757     -0.24122360     -1.13504538
31    481        -0.66833512     -0.32276479     -1.08097824
32    481        -0.68361614     -0.43772633     -1.04193943
33    481        -0.71678515     -0.56141944     -1.00793402
34    481        -0.75762176     -0.63852132     -1.00164589
35    481        -0.78865920     -0.67496374     -0.99107885
36    481        -0.80075915     -0.67430007     -1.00734665
37    481        -0.76820452     -0.66104263     -0.96813706
rattaling1 for OH1 ends here
rattling1 for OH1 starts here
21    481        -0.58287068      0.03401059     -1.24106951
22    481        -0.58581285      0.02569678     -1.22546492
23    481        -0.57594734      0.01260052     -1.21603992
24    481        -0.56386126     -0.02402985     -1.20815419
25    481        -0.55767117     -0.08609269     -1.21681510
26    481        -0.55820470     -0.13408260     -1.25842892
27    481        -0.56241827     -0.16464627     -1.30004196
28    481        -0.59141013     -0.19021558     -1.28102051
29    481        -0.63981512     -0.20347105     -1.20924098
30    481        -0.66568757     -0.24122360     -1.13504538
31    481        -0.66833512     -0.32276479     -1.08097824
32    481        -0.68361614     -0.43772633     -1.04193943
33    481        -0.71678515     -0.56141944     -1.00793402
34    481        -0.75762176     -0.63852132     -1.00164589
35    481        -0.78865920     -0.67496374     -0.99107885
36    481        -0.80075915     -0.67430007     -1.00734665
37    481        -0.76820452     -0.66104263     -0.96813706
38    481        -0.74610539     -0.65741196     -0.93849314
39    481        -0.79998517     -0.66986640     -0.99213257
rattaling1 for OH1 ends here
rattling1 for OH1 starts here
26    481        -0.55820470     -0.13408260     -1.25842892
27    481        -0.56241827     -0.16464627     -1.30004196
28    481        -0.59141013     -0.19021558     -1.28102051
29    481        -0.63981512     -0.20347105     -1.20924098
30    481        -0.66568757     -0.24122360     -1.13504538
31    481        -0.66833512     -0.32276479     -1.08097824
32    481        -0.68361614     -0.43772633     -1.04193943
33    481        -0.71678515     -0.56141944     -1.00793402
34    481        -0.75762176     -0.63852132     -1.00164589
35    481        -0.78865920     -0.67496374     -0.99107885
36    481        -0.80075915     -0.67430007     -1.00734665
37    481        -0.76820452     -0.66104263     -0.96813706
38    481        -0.74610539     -0.65741196     -0.93849314
39    481        -0.79998517     -0.66986640     -0.99213257
40    481        -0.88411854     -0.66584474     -1.09311638
41    481        -0.88111569     -0.64665849     -1.12405137
42    481        -0.80949550     -0.62204502     -1.11241477
43    481        -0.72342022     -0.61616316     -1.11814615
44    481        -0.69681675     -0.62114773     -1.17017504
rattaling1 for OH1 ends here
rattling1 for OH1 starts here
29    481        -0.63981512     -0.20347105     -1.20924098
