MD Temperature:                      0.0009500446 H          300.0000 K
MD Temperature:                      0.0010403299 H          328.5098 K
MD Temperature:                      0.0014054726 H          443.8126 K
MD Temperature:                      0.0020978922 H          662.4612 K
MD Temperature:                      0.0028753268 H          907.9553 K
MD Temperature:                      0.0034531809 H         1090.4270 K
MD Temperature:                      0.0038221467 H         1206.9370 K
MD Temperature:                      0.0041567101 H         1312.5837 K
MD Temperature:                      0.0045440948 H         1434.9099 K
MD Temperature:                      0.0048532164 H         1532.5227 K
MD Temperature:                      0.0049863833 H         1574.5734 K
MD Temperature:                      0.0050416069 H         1592.0116 K
MD Temperature:                      0.0050781199 H         1603.5415 K
MD Temperature:                      0.0050212965 H         1585.5981 K
MD Temperature:                      0.0048556172 H         1533.2808 K
MD Temperature:                      0.0046655267 H         1473.2551 K
MD Temperature:                      0.0045153311 H         1425.8271 K
MD Temperature:                      0.0043701722 H         1379.9896 K
MD Temperature:                      0.0041607643 H         1313.8639 K
MD Temperature:                      0.0039119898 H         1235.3072 K
MD Temperature:                      0.0037090437 H         1171.2220 K
MD Temperature:                      0.0035630068 H         1125.1072 K
MD Temperature:                      0.0034101274 H         1076.8318 K
MD Temperature:                      0.0032274089 H         1019.1339 K
MD Temperature:                      0.0030531895 H          964.1198 K
MD Temperature:                      0.0029048844 H          917.2889 K
MD Temperature:                      0.0027660013 H          873.4331 K
MD Temperature:                      0.0026347919 H          832.0005 K
MD Temperature:                      0.0025243864 H          797.1372 K
MD Temperature:                      0.0024239012 H          765.4066 K
MD Temperature:                      0.0023228144 H          733.4859 K
MD Temperature:                      0.0022425770 H          708.1490 K
MD Temperature:                      0.0021872611 H          690.6816 K
MD Temperature:                      0.0021346536 H          674.0695 K
MD Temperature:                      0.0020747459 H          655.1521 K
MD Temperature:                      0.0020187608 H          637.4735 K
MD Temperature:                      0.0019788093 H          624.8578 K
MD Temperature:                      0.0019440487 H          613.8813 K
MD Temperature:                      0.0019036684 H          601.1302 K
MD Temperature:                      0.0018689369 H          590.1629 K
MD Temperature:                      0.0018446110 H          582.4814 K
MD Temperature:                      0.0018115196 H          572.0320 K
MD Temperature:                      0.0017503050 H          552.7020 K
MD Temperature:                      0.0016816951 H          531.0367 K
MD Temperature:                      0.0016502512 H          521.1075 K
MD Temperature:                      0.0016467487 H          520.0015 K
MD Temperature:                      0.0016258291 H          513.3956 K
MD Temperature:                      0.0015847760 H          500.4321 K
MD Temperature:                      0.0015534964 H          490.5548 K
MD Temperature:                      0.0015409271 H          486.5857 K
MD Temperature:                      0.0015264990 H          482.0297 K
MD Temperature:                      0.0014924863 H          471.2893 K
MD Temperature:                      0.0014470045 H          456.9273 K
MD Temperature:                      0.0014084749 H          444.7607 K
MD Temperature:                      0.0013804361 H          435.9067 K
MD Temperature:                      0.0013505888 H          426.4817 K
MD Temperature:                      0.0013172607 H          415.9575 K
MD Temperature:                      0.0012919298 H          407.9587 K
MD Temperature:                      0.0012722181 H          401.7342 K
MD Temperature:                      0.0012461192 H          393.4928 K
MD Temperature:                      0.0012156943 H          383.8854 K
MD Temperature:                      0.0011920414 H          376.4164 K
MD Temperature:                      0.0011710435 H          369.7858 K
MD Temperature:                      0.0011397121 H          359.8922 K
MD Temperature:                      0.0011076462 H          349.7666 K
MD Temperature:                      0.0010974956 H          346.5613 K
MD Temperature:                      0.0011054217 H          349.0641 K
MD Temperature:                      0.0011073158 H          349.6623 K
MD Temperature:                      0.0010942627 H          345.5404 K
MD Temperature:                      0.0010801665 H          341.0892 K
MD Temperature:                      0.0010757348 H          339.6898 K
MD Temperature:                      0.0010707359 H          338.1112 K
MD Temperature:                      0.0010504384 H          331.7018 K
MD Temperature:                      0.0010187892 H          321.7078 K
MD Temperature:                      0.0009937638 H          313.8054 K
MD Temperature:                      0.0009822103 H          310.1571 K
MD Temperature:                      0.0009719370 H          306.9131 K
MD Temperature:                      0.0009552124 H          301.6319 K
MD Temperature:                      0.0009402707 H          296.9136 K
MD Temperature:                      0.0009333657 H          294.7332 K
MD Temperature:                      0.0009286787 H          293.2532 K
MD Temperature:                      0.0009187095 H          290.1052 K
MD Temperature:                      0.0009035272 H          285.3110 K
MD Temperature:                      0.0008869490 H          280.0760 K
MD Temperature:                      0.0008719586 H          275.3424 K
MD Temperature:                      0.0008604453 H          271.7068 K
MD Temperature:                      0.0008548340 H          269.9349 K
MD Temperature:                      0.0008580213 H          270.9414 K
MD Temperature:                      0.0008699990 H          274.7236 K
MD Temperature:                      0.0008886083 H          280.6000 K
MD Temperature:                      0.0009099510 H          287.3395 K
MD Temperature:                      0.0009269115 H          292.6952 K
MD Temperature:                      0.0009339207 H          294.9085 K
MD Temperature:                      0.0009347712 H          295.1771 K
MD Temperature:                      0.0009377683 H          296.1235 K
MD Temperature:                      0.0009442303 H          298.1640 K
MD Temperature:                      0.0009502177 H          300.0547 K
MD Temperature:                      0.0009554263 H          301.6994 K
MD Temperature:                      0.0009638034 H          304.3447 K
MD Temperature:                      0.0009754820 H          308.0325 K
MD Temperature:                      0.0009823953 H          310.2155 K
MD Temperature:                      0.0009768933 H          308.4781 K
MD Temperature:                      0.0009639318 H          304.3852 K
MD Temperature:                      0.0009546423 H          301.4518 K
MD Temperature:                      0.0009489641 H          299.6588 K
MD Temperature:                      0.0009382741 H          296.2832 K
MD Temperature:                      0.0009209646 H          290.8173 K
MD Temperature:                      0.0009039183 H          285.4345 K
MD Temperature:                      0.0008912278 H          281.4271 K
MD Temperature:                      0.0008786639 H          277.4598 K
MD Temperature:                      0.0008619186 H          272.1720 K
MD Temperature:                      0.0008458515 H          267.0985 K
MD Temperature:                      0.0008369012 H          264.2722 K
MD Temperature:                      0.0008298303 H          262.0394 K
MD Temperature:                      0.0008172537 H          258.0680 K
MD Temperature:                      0.0008038940 H          253.8494 K
MD Temperature:                      0.0007978240 H          251.9326 K
MD Temperature:                      0.0007964613 H          251.5023 K
